Date_x,season,HomeTeam_x,AwayTeam_x,FTR,AvgH,AvgD,AvgA,Date_y,HomeTeam_y,AwayTeam_y,home_points_last5,home_gf_last5,home_ga_last5,home_rest_days,away_points_last5,away_gf_last5,away_ga_last5,away_rest_days
2015-11-28,2015/2016,Tondela,Porto,A,,,,2015-11-28,Tondela,Porto,2.0,3.0,9.0,19.0,11.0,9.0,2.0,20.0
2015-11-29,2015/2016,Academica,Arouca,D,,,,2015-11-29,Academica,Arouca,6.0,4.0,4.0,23.0,4.0,3.0,4.0,21.0
2015-11-29,2015/2016,Pacos Ferreira,Estoril,H,,,,2015-11-29,Pacos Ferreira,Estoril,6.0,5.0,7.0,21.0,5.0,5.0,6.0,23.0
2015-11-29,2015/2016,Rio Ave,Moreirense,A,,,,2015-11-29,Rio Ave,Moreirense,10.0,7.0,5.0,21.0,6.0,6.0,6.0,21.0
2015-11-30,2015/2016,Sp Braga,Benfica,A,,,,2015-11-30,Sp Braga,Benfica,11.0,6.0,0.0,21.0,9.0,9.0,4.0,22.0
2015-11-30,2015/2016,Sp Lisbon,Belenenses,H,,,,2015-11-30,Sp Lisbon,Belenenses,13.0,10.0,1.0,22.0,7.0,5.0,11.0,21.0
2015-12-02,2015/2016,Uniao Madeira,Porto,A,,,,2015-12-02,Uniao Madeira,Porto,2.0,3.0,6.0,4.0,11.0,9.0,2.0,4.0
2015-12-04,2015/2016,Benfica,Academica,H,,,,2015-12-04,Benfica,Academica,12.0,11.0,3.0,4.0,7.0,5.0,4.0,5.0
2015-12-05,2015/2016,Belenenses,Setubal,A,,,,2015-12-05,Belenenses,Setubal,6.0,3.0,10.0,5.0,8.0,5.0,4.0,7.0
2015-12-05,2015/2016,Maritimo,Sp Lisbon,A,,,,2015-12-05,Maritimo,Sp Lisbon,6.0,5.0,8.0,8.0,15.0,11.0,1.0,5.0
2015-12-05,2015/2016,Porto,Pacos Ferreira,H,,,,2015-12-05,Porto,Pacos Ferreira,13.0,11.0,0.0,3.0,9.0,7.0,4.0,6.0
2015-12-06,2015/2016,Arouca,Boavista,H,,,,2015-12-06,Arouca,Boavista,4.0,2.0,3.0,7.0,1.0,1.0,6.0,8.0
2015-12-06,2015/2016,Estoril,Nacional,D,,,,2015-12-06,Estoril,Nacional,2.0,3.0,7.0,7.0,7.0,5.0,5.0,9.0
2015-12-06,2015/2016,Moreirense,Sp Braga,D,,,,2015-12-06,Moreirense,Sp Braga,8.0,5.0,4.0,7.0,8.0,5.0,2.0,6.0
2015-12-06,2015/2016,Uniao Madeira,Tondela,H,,,,2015-12-06,Uniao Madeira,Tondela,1.0,3.0,10.0,4.0,2.0,3.0,9.0,8.0
2015-12-07,2015/2016,Guimaraes,Rio Ave,H,,,,2015-12-07,Guimaraes,Rio Ave,7.0,5.0,8.0,9.0,7.0,6.0,6.0,8.0
